iter	MultiClass
0	2.763387265
1	2.755285909
2	2.745124353
3	2.738814132
4	2.731065553
5	2.718748902
6	2.71104707
7	2.70229395
8	2.695523765
9	2.686931856
10	2.676728191
11	2.670533364
12	2.664518108
13	2.656230307
14	2.648886795
15	2.643340941
16	2.636422214
17	2.631669552
18	2.62248366
19	2.617380053
20	2.610481782
21	2.602519942
22	2.596072866
23	2.586327509
24	2.578314944
25	2.568463228
26	2.559257934
27	2.553061827
28	2.544863479
29	2.54023398
30	2.530742614
31	2.523647749
32	2.520732605
33	2.513278535
34	2.502833113
35	2.494562422
36	2.489220286
37	2.479310029
38	2.471244416
39	2.460955126
40	2.454787442
41	2.449153898
42	2.442018278
43	2.431727526
44	2.422736923
45	2.41609874
46	2.406013721
47	2.398673804
48	2.393179982
49	2.383724451
50	2.378123889
51	2.370121365
52	2.364346666
53	2.356431207
54	2.349658941
55	2.343487397
56	2.333563212
57	2.326585859
58	2.320022313
59	2.315366147
60	2.309858978
61	2.301522622
62	2.292824198
63	2.282335641
64	2.279717192
65	2.270866786
66	2.266552174
67	2.261823262
68	2.256032051
69	2.250659863
70	2.246049918
71	2.241586543
72	2.233937299
73	2.229299451
74	2.223213532
75	2.215763753
76	2.208481742
77	2.203410037
78	2.191604239
79	2.182589018
80	2.176984261
81	2.169261412
82	2.162745062
83	2.156649528
84	2.148844081
85	2.13893418
86	2.131178338
87	2.122347433
88	2.114799731
89	2.107037714
90	2.100281745
91	2.094449243
92	2.089656707
93	2.083915821
94	2.077252011
95	2.07094287
96	2.064637374
97	2.056342128
98	2.052813953
99	2.045648838
