iter	Passed	Remaining
0	22	2246
1	44	2200
2	65	2119
3	86	2078
4	108	2057
5	131	2052
6	153	2037
7	176	2025
8	201	2040
9	230	2072
10	256	2077
11	283	2080
12	307	2056
13	331	2038
14	356	2020
15	380	1998
16	404	1972
17	427	1945
18	450	1921
19	478	1914
20	505	1903
21	529	1878
22	553	1852
23	576	1824
24	601	1803
25	622	1771
26	643	1739
27	663	1706
28	684	1675
29	704	1643
30	726	1616
31	747	1588
32	767	1558
33	788	1530
34	808	1500
35	828	1473
36	849	1446
37	872	1424
38	894	1399
39	916	1374
40	937	1349
41	958	1323
42	979	1298
43	1001	1274
44	1022	1250
45	1045	1227
46	1068	1204
47	1089	1179
48	1119	1165
49	1156	1156
50	1179	1133
51	1204	1111
52	1225	1086
53	1246	1062
54	1268	1037
55	1290	1014
56	1312	990
57	1334	966
58	1354	941
59	1376	917
60	1399	894
61	1420	870
62	1442	847
63	1464	824
64	1486	800
65	1509	777
66	1529	753
67	1550	729
68	1572	706
69	1595	683
70	1618	661
71	1638	637
72	1661	614
73	1681	590
74	1702	567
75	1723	544
76	1746	521
77	1767	498
78	1791	476
79	1812	453
80	1834	430
81	1854	407
82	1875	384
83	1896	361
84	1916	338
85	1937	315
86	1959	292
87	1980	270
88	2002	247
89	2023	224
90	2044	202
91	2065	179
92	2086	157
93	2108	134
94	2129	112
95	2150	89
96	2172	67
97	2194	44
98	2216	22
99	2239	0
