iter	MultiClass
0	3.292613874
1	3.256819065
2	3.225209733
3	3.194660279
4	3.167674857
5	3.140876747
6	3.116600204
7	3.095367181
8	3.074869232
9	3.054278615
10	3.036168925
11	3.018097673
12	3.002066878
13	2.985619984
14	2.971206992
15	2.955912355
16	2.943545526
17	2.930346599
18	2.91339667
19	2.900634924
20	2.888496665
21	2.876135842
22	2.865965961
23	2.853671535
24	2.842588228
25	2.828006605
26	2.814454587
27	2.806735812
28	2.795719318
29	2.787723424
30	2.776528057
31	2.763955684
32	2.755985344
33	2.7476946
34	2.738980546
35	2.729353393
36	2.722100355
37	2.712527912
38	2.704076187
39	2.693633775
40	2.684104567
41	2.676561634
42	2.667880381
43	2.658501903
44	2.648837109
45	2.639469891
46	2.630124779
47	2.619448071
48	2.612059166
49	2.600592692
50	2.594732593
51	2.585155614
52	2.577623888
53	2.573304971
54	2.565462676
55	2.5594873
56	2.55242822
57	2.544321633
58	2.535417457
59	2.523834424
60	2.515787355
61	2.510777303
62	2.502041255
63	2.497732887
64	2.491053428
65	2.481711507
66	2.473824247
67	2.467173713
68	2.458066818
69	2.451196879
70	2.444822413
71	2.43627275
72	2.42534747
73	2.412705192
74	2.402798175
75	2.395560971
76	2.386027605
77	2.377717597
78	2.368965065
79	2.363552014
80	2.354379931
81	2.34726468
82	2.339719705
83	2.330317813
84	2.321161001
85	2.316213456
86	2.310726395
87	2.306536593
88	2.300889192
89	2.292583235
90	2.285891593
91	2.280099695
92	2.275975561
93	2.269942744
94	2.264355456
95	2.260719943
96	2.254304941
97	2.244397173
98	2.23824496
99	2.232612869
