iter	Passed	Remaining
0	158	15672
1	194	9522
2	228	7385
3	261	6278
4	297	5658
5	332	5204
6	365	4860
7	401	4617
8	436	4413
9	470	4237
10	505	4091
11	539	3956
12	573	3840
13	608	3736
14	643	3648
15	678	3563
16	712	3477
17	746	3399
18	779	3322
19	814	3258
20	850	3199
21	885	3139
22	919	3077
23	954	3021
24	989	2968
25	1024	2914
26	1059	2863
27	1094	2813
28	1131	2769
29	1164	2716
30	1197	2665
31	1233	2620
32	1266	2571
33	1299	2523
34	1334	2478
35	1370	2436
36	1406	2394
37	1441	2351
38	1474	2306
39	1507	2260
40	1541	2218
41	1574	2174
42	1608	2131
43	1642	2090
44	1676	2048
45	1710	2007
46	1745	1967
47	1779	1927
48	1812	1886
49	1845	1845
50	1881	1807
51	1916	1768
52	1950	1729
53	1985	1690
54	2020	1652
55	2053	1613
56	2086	1574
57	2120	1535
58	2155	1497
59	2190	1460
60	2225	1422
61	2261	1385
62	2294	1347
63	2329	1310
64	2362	1272
65	2397	1235
66	2432	1198
67	2466	1160
68	2501	1123
69	2536	1087
70	2570	1049
71	2604	1012
72	2640	976
73	2676	940
74	2710	903
75	2745	867
76	2781	830
77	2817	794
78	2850	757
79	2883	720
80	2918	684
81	2954	648
82	2989	612
83	3023	575
84	3056	539
85	3091	503
86	3125	466
87	3159	430
88	3191	394
89	3225	358
90	3259	322
91	3293	286
92	3327	250
93	3360	214
94	3393	178
95	3426	142
96	3461	107
97	3496	71
98	3530	35
99	3563	0
